output_yield,year,reginal_zone,province_code,planted_area,harvested_area,production_ton,yield_ha_area,sale_price,fertilizer_use,cost,Temp,RainDay,Rainfall
799,2561,19,550,45139,44993,36045,801,9881.44,40.43,5258.63,29,12,0
679,2561,17,560,14118,13988,9584,685,9868.73,37.97,5258.63,27,1,3
748,2561,17,570,405611,401106,303371,756,9960.64,48.49,5258.63,16,13,0
604,2561,16,580,420433,411962,253828,616,9734.83,39.06,5258.63,4,4,10
669,2561,16,590,335574,328961,224353,682,10062.36,56.8,5258.63,7,4,5
639,2561,17,600,3554,3490,2272,651,10531.75,48.68,5258.63,15,6,2
699,2561,16,610,320271,319810,223873,700,9863.33,46.74,5258.63,30,3,5
547,2561,16,620,45904,44179,25110,568,9802.17,33.33,5258.63,21,12,4
364,2561,21,630,6859,6731,2498,371,13034.38,35.57,4143.48,10,7,9
332,2561,21,640,772,772,256,332,13034.38,14.25,4143.48,0,11,8
366,2561,21,650,7791,7478,2852,381,13034.38,30.68,4143.48,24,15,6
321,2561,23,660,1718,1718,552,321,13034.38,27.36,4143.48,0,4,6
493,2561,23,670,69,69,34,493,13034.38,28.99,4143.48,15,13,2
346,2561,23,680,3252,3252,1125,346,13034.38,12.61,4143.48,3,4,8
383,2561,23,690,13189,13189,5046,383,13034.38,29.49,4143.48,5,11,1
450,2561,22,700,331048,321182,149050,464,13034.38,36.63,4143.48,16,15,0
410,2561,22,710,144888,128090,59442,464,13034.38,34.12,4143.48,12,2,5
562,2561,22,720,228862,227023,128571,566,13034.38,35.33,4143.48,21,1,10
386,2561,22,730,32881,32459,12677,391,13034.38,32.51,4143.48,24,4,2
369,2561,24,740,109616,107900,40492,375,13034.38,27.13,4143.48,20,12,6
230,2561,24,750,31545,31239,7248,232,13034.38,25.52,4143.48,8,10,7
349,2561,24,760,69220,68832,24144,351,13034.38,25.52,4143.48,9,8,1
