actual,predicted.gaussian,predicted.svm,predicted.random,actual_scaled,predicted.neural$net.result
462,454.799948570213,464.482549928958,435.540633333333,0.32436069986541,0.330899489047479
430,419.775641630726,421.47416597902,420.183066666667,0.327052489905787,0.350770887306339
423,423.27328650836,423.321441052545,417.268933333334,0.32436069986541,0.32578899246456
622,682.35278774135,705.284348399939,688.508966666667,0.352624495289367,0.358838478894581
276,259.431008971167,266.991858591928,271.8131,0.450874831763122,0.452083245362647
318,355.576764890134,353.452422322951,354.9332,0.453566621803499,0.45795596239164
625,620.802777186757,620.54967628869,608.131366666667,0.374158815612382,0.368617434131327
371,361.569166815549,361.749314790899,365.515966666667,0.339165545087483,0.332920365221053
264,257.869043582781,260.08105148334,255.927833333334,0.345895020188425,0.341234630355111
649,636.091433804105,639.455605481095,642.892833333334,0.349932705248991,0.342629337592805
441,444.590461165535,456.963551071691,448.462033333333,0.574697173620458,0.568871902249962
616,602.538191031381,604.910763873125,595.836033333333,0.577388963660834,0.576614462829027
744,725.392687959996,722.160425598633,689.914,0.562584118438762,0.555250255847127
245,207.367105384001,247.631924203148,259.250866666667,0.535666218034993,0.531751933347996
503,500.198547701706,488.550245035848,509.869,0.584118438761777,0.582677561259803
314,301.41334737559,295.995639222064,306.903833333333,0.526244952893674,0.527343935831257
482,475.946033668191,474.880416793609,463.502366666667,0.449528936742934,0.448829490637483
236,235.709856417285,240.104878608984,247.649233333333,0.534320323014805,0.540462798386234
371,356.693525892595,352.337655124596,383.5726,0.497981157469717,0.500246270699048
370,359.127376310749,349.340235340848,342.014266666667,0.646029609690444,0.636027497373536
675,650.293390000861,663.632633723547,654.456133333334,0.554508748317631,0.548063139044213
739,735.491419591453,724.266121809288,693.433466666667,0.636608344549125,0.630792944506511
312,324.734660965262,321.410382585291,317.831233333333,0.546433378196501,0.54554275291131
383,377.31683937645,371.373221629861,374.392033333333,0.539703903095559,0.545183285871989
519,524.295584438554,526.831289625375,521.469533333333,0.46164199192463,0.389873563096023
262,275.54090481449,282.023350250749,284.4407,0.440107671601615,0.423691830499419
591,565.864239224156,569.587584112245,528.805533333333,0.584118438761777,0.59361773686528
347,350.692253093307,344.566784206016,343.070933333334,0.379542395693136,0.367339544741428
199,224.172798345391,227.282035237879,250.383566666667,0.278600269179004,0.277913709066074
411,409.752806648227,408.05222641865,404.588366666667,0.271870794078062,0.276391238175111
539,526.464682747888,513.752589039995,515.242266666667,0.270524899057873,0.270642504775289
741,724.052124253149,732.652458677429,717.473266666667,0.2907133243607,0.293555805238443
229,214.189898959658,234.08804117908,229.956366666667,0.244952893674293,0.245305104392336
358,338.381899655138,333.665771707613,326.6993,0.263795423956931,0.259948486352684
655,652.665037453368,662.594500435301,637.4813,0.300134589502019,0.297686429246203
385,398.677448373438,391.643316854308,387.877666666667,0.277254374158816,0.277651136521591
626,610.926539183706,616.781457226734,626.353066666667,0.23956931359354,0.244908794035039
496,503.663512683988,516.847129711812,515.666966666667,0.368775235531629,0.326687234144823
313,407.994400221719,437.494777024814,395.5551,0.353970390309556,0.298437632437395
289,289.888617684447,286.307435104812,287.914366666667,0.345895020188425,0.290728413633117
531,523.026862750573,525.893949926907,508.5435,0.312247644683715,0.304438965713253
303,275.444350926526,300.397596592081,293.9157,0.302826379542396,0.293998926336749
516,509.624843498347,510.160183697975,513.744833333334,0.32436069986541,0.327807394984754
325,378.631354674614,370.583344368454,374.292466666667,0.267833109017497,0.267580642687827
428,395.105040132406,401.663904326661,395.8525,0.189771197846568,0.195489387926864
432,443.762636586624,456.135044171129,441.572133333333,0.193808882907133,0.236602531230848
533,523.2183810898,521.325948257412,516.3289,0.562584118438762,0.542618450776054
318,340.721241222974,317.127524506701,322.808666666667,0.456258411843876,0.425818981041059
455,460.850768701031,457.673187234609,442.850166666666,0.710632570659489,0.704610610052542
781,758.802737484926,770.031212339287,751.207333333333,0.633916554508748,0.630637838728769
236,237.672924998355,241.788480174689,262.9702,0.707940780619112,0.70593770854671
309,319.234871778301,323.976968925519,319.411133333333,0.670255720053836,0.658058631159456
358,362.749683847557,368.833792031041,358.9972,0.609690444145357,0.592925893921115
480,464.135582978577,466.887747869943,457.1224,0.868102288021534,0.871177048989601
306,314.57804372732,297.36271314308,308.476633333333,0.851951547779273,0.851698461703489
470,459.317925594753,460.194394286249,462.1161,0.705248990578735,0.690215131220407
558,537.712670979751,540.76873392372,533.2506,0.502018842530283,0.50049658460004
378,354.466764534207,367.596109429801,370.055766666667,0.378196500672948,0.378879449093934
540,595.168816648149,607.713154046919,599.124566666667,0.570659488559892,0.5699785700057
