"output_yield","year","reginal_zone","province_code"
574,2540,14,410
494,2540,14,420
363,2540,15,430
734,2540,15,440
640,2540,15,450
690,2540,15,460
337,2540,18,470
271,2540,18,480
485,2540,18,490
283,2540,20,500
298,2540,20,510
305,2540,20,520
268,2540,19,530
244,2540,19,540
552,2540,19,550
555,2540,17,560
682,2540,17,570
365,2540,16,580
433,2540,16,590
490,2540,17,600
414,2540,16,610
349,2540,16,620
241,2540,21,630
260,2540,21,640
320,2540,21,650
338,2540,23,660
479,2540,23,670
269,2540,23,680
338,2540,23,690
325,2540,22,700
383,2540,22,710
371,2540,22,720
367,2540,22,730
335,2540,24,740
250,2540,24,750
334,2540,24,760
444,2541,12,10
414,2541,12,20
437,2541,12,30
469,2541,13,40
422,2541,13,50
286,2541,13,60
349,2541,9,70
437,2541,9,80
455,2541,9,90
591,2541,11,100
504,2541,11,110
321,2541,11,120
414,2541,10,130
471,2541,10,140
324,2541,8,150
398,2541,8,160
427,2541,8,170
330,2541,1,180
348,2541,1,190
263,2541,1,200
318,2541,1,210
263,2541,2,220
287,2541,2,230
262,2541,2,240
250,2541,3,250
264,2541,3,260
257,2541,3,270
255,2541,5,280
229,2541,5,290
282,2541,5,300
281,2541,4,310
238,2541,4,320
335,2541,4,330
251,2541,4,340
256,2541,6,350
253,2541,6,360
420,2541,7,370
386,2541,7,380
622,2541,14,390
516,2541,14,400
675,2541,14,410
511,2541,14,420
485,2541,15,430
738,2541,15,440
630,2541,15,450
700,2541,15,460
415,2541,18,470
285,2541,18,480
496,2541,18,490
265,2541,20,500
315,2541,20,510
329,2541,20,520
329,2541,19,530
299,2541,19,540
579,2541,19,550
583,2541,17,560
702,2541,17,570
284,2541,16,580
552,2541,16,590
553,2541,17,600
477,2541,16,610
332,2541,16,620
225,2541,21,630
276,2541,21,640
288,2541,21,650
299,2541,23,660
314,2541,23,670
289,2541,23,680
316,2541,23,690
322,2541,22,700
393,2541,22,710
368,2541,22,720
344,2541,22,730
339,2541,24,740
309,2541,24,750
323,2541,24,760
454,2542,12,10
424,2542,12,20
458,2542,12,30
482,2542,13,40
480,2542,13,50
308,2542,13,60
378,2542,9,70
455,2542,9,80
468,2542,9,90
594,2542,11,100
423,2542,11,110
342,2542,11,120
335,2542,10,130
318,2542,10,140
348,2542,8,150
407,2542,8,160
433,2542,8,170
345,2542,1,180
354,2542,1,190
272,2542,1,200
332,2542,1,210
280,2542,2,220
292,2542,2,230
269,2542,2,240
254,2542,3,250
275,2542,3,260
272,2542,3,270
263,2542,5,280
257,2542,5,290
291,2542,5,300
292,2542,4,310
250,2542,4,320
350,2542,4,330
255,2542,4,340
249,2542,6,350
262,2542,6,360
417,2542,7,370
417,2542,7,380
625,2542,14,390
548,2542,14,400
608,2542,14,410
544,2542,14,420
503,2542,15,430
689,2542,15,440
517,2542,15,450
735,2542,15,460
433,2542,18,470
282,2542,18,480
509,2542,18,490
258,2542,20,500
309,2542,20,510
306,2542,20,520
346,2542,19,530
314,2542,19,540
575,2542,19,550
591,2542,17,560
689,2542,17,570
296,2542,16,580
572,2542,16,590
560,2542,17,600
503,2542,16,610
342,2542,16,620
248,2542,21,630
277,2542,21,640
306,2542,21,650
312,2542,23,660
349,2542,23,670
299,2542,23,680
333,2542,23,690
329,2542,22,700
381,2542,22,710
374,2542,22,720
351,2542,22,730
344,2542,24,740
302,2542,24,750
331,2542,24,760
446,2543,12,10
432,2543,12,20
486,2543,12,30
487,2543,13,40
497,2543,13,50
338,2543,13,60
373,2543,9,70
445,2543,9,80
379,2543,9,90
475,2543,11,100
400,2543,11,110
358,2543,11,120
427,2543,10,130
437,2543,10,140
426,2543,8,150
505,2543,8,160
390,2543,8,170
374,2543,1,180
363,2543,1,190
283,2543,1,200
308,2543,1,210
277,2543,2,220
259,2543,2,230
274,2543,2,240
268,2543,3,250
284,2543,3,260
288,2543,3,270
280,2543,5,280
291,2543,5,290
311,2543,5,300
295,2543,4,310
266,2543,4,320
357,2543,4,330
291,2543,4,340
275,2543,6,350
268,2543,6,360
411,2543,7,370
320,2543,7,380
648,2543,14,390
544,2543,14,400
569,2543,14,410
536,2543,14,420
512,2543,15,430
729,2543,15,440
602,2543,15,450
699,2543,15,460
398,2543,18,470
299,2543,18,480
468,2543,18,490
269,2543,20,500
303,2543,20,510
318,2543,20,520
326,2543,19,530
309,2543,19,540
617,2543,19,550
574,2543,17,560
680,2543,17,570
309,2543,16,580
575,2543,16,590
566,2543,17,600
510,2543,16,610
350,2543,16,620
254,2543,21,630
260,2543,21,640
268,2543,21,650
320,2543,23,660
320,2543,23,670
305,2543,23,680
342,2543,23,690
326,2543,22,700
324,2543,22,710
333,2543,22,720
329,2543,22,730
299,2543,24,740
308,2543,24,750
273,2543,24,760
419,2544,12,10
443,2544,12,20
523,2544,12,30
563,2544,13,40
495,2544,13,50
347,2544,13,60
445,2544,9,70
484,2544,9,80
370,2544,9,90
545,2544,11,100
370,2544,11,110
447,2544,11,120
486,2544,10,130
392,2544,10,140
438,2544,8,150
487,2544,8,160
499,2544,8,170
360,2544,1,180
329,2544,1,190
272,2544,1,200
288,2544,1,210
280,2544,2,220
238,2544,2,230
314,2544,2,240
274,2544,3,250
305,2544,3,260
278,2544,3,270
318,2544,5,280
309,2544,5,290
298,2544,5,300
329,2544,4,310
328,2544,4,320
260,2544,4,330
347,2544,4,340
284,2544,6,350
219,2544,6,360
424,2544,7,370
339,2544,7,380
665,2544,14,390
632,2544,14,400
626,2544,14,410
648,2544,14,420
550,2544,15,430
854,2544,15,440
722,2544,15,450
729,2544,15,460
428,2544,18,470
340,2544,18,480
517,2544,18,490
273,2544,20,500
329,2544,20,510
349,2544,20,520
382,2544,19,530
314,2544,19,540
690,2544,19,550
638,2544,17,560
689,2544,17,570
370,2544,16,580
585,2544,16,590
583,2544,17,600
458,2544,16,610
392,2544,16,620
288,2544,21,630
295,2544,21,640
376,2544,21,650
245,2544,23,660
334,2544,23,670
293,2544,23,680
268,2544,23,690
355,2544,22,700
310,2544,22,710
365,2544,22,720
309,2544,22,730
345,2544,24,740
342,2544,24,750
353,2544,24,760
512,2545,12,10
461,2545,12,20
504,2545,12,30
424,2545,13,40
535,2545,13,50
446,2545,13,60
462,2545,9,70
469,2545,9,80
464,2545,9,90
559,2545,11,100
291,2545,11,110
608,2545,11,120
472,2545,10,130
496,2545,10,140
465,2545,8,150
487,2545,8,160
537,2545,8,170
444,2545,1,180
313,2545,1,190
278,2545,1,200
310,2545,1,210
290,2545,2,220
295,2545,2,230
371,2545,2,240
272,2545,3,250
283,2545,3,260
275,2545,3,270
314,2545,5,280
315,2545,5,290
313,2545,5,300
269,2545,4,310
298,2545,4,320
348,2545,4,330
314,2545,4,340
267,2545,6,350
292,2545,6,360
493,2545,7,370
455,2545,7,380
660,2545,14,390
689,2545,14,400
703,2545,14,410
636,2545,14,420
552,2545,15,430
766,2545,15,440
725,2545,15,450
762,2545,15,460
456,2545,18,470
352,2545,18,480
599,2545,18,490
253,2545,20,500
333,2545,20,510
335,2545,20,520
377,2545,19,530
307,2545,19,540
741,2545,19,550
650,2545,17,560
652,2545,17,570
382,2545,16,580
551,2545,16,590
586,2545,17,600
486,2545,16,610
392,2545,16,620
428,2545,21,630
291,2545,21,640
422,2545,21,650
337,2545,23,660
315,2545,23,670
329,2545,23,680
382,2545,23,690
357,2545,22,700
379,2545,22,710
430,2545,22,720
374,2545,22,730
337,2545,24,740
378,2545,24,750
348,2545,24,760
616,2546,12,10
553,2546,12,20
501,2546,12,30
451,2546,13,40
564,2546,13,50
497,2546,13,60
460,2546,9,70
538,2546,9,80
517,2546,9,90
554,2546,11,100
301,2546,11,110
663,2546,11,120
507,2546,10,130
517,2546,10,140
504,2546,8,150
493,2546,8,160
539,2546,8,170
411,2546,1,180
333,2546,1,190
311,2546,1,200
342,2546,1,210
294,2546,2,220
321,2546,2,230
384,2546,2,240
282,2546,3,250
313,2546,3,260
277,2546,3,270
362,2546,5,280
369,2546,5,290
323,2546,5,300
286,2546,4,310
302,2546,4,320
348,2546,4,330
328,2546,4,340
285,2546,6,350
306,2546,6,360
543,2546,7,370
530,2546,7,380
711,2546,14,390
692,2546,14,400
709,2546,14,410
648,2546,14,420
577,2546,15,430
786,2546,15,440
750,2546,15,450
801,2546,15,460
483,2546,18,470
368,2546,18,480
609,2546,18,490
310,2546,20,500
361,2546,20,510
379,2546,20,520
385,2546,19,530
347,2546,19,540
766,2546,19,550
685,2546,17,560
700,2546,17,570
490,2546,16,580
595,2546,16,590
594,2546,17,600
502,2546,16,610
423,2546,16,620
432,2546,21,630
343,2546,21,640
446,2546,21,650
363,2546,23,660
325,2546,23,670
357,2546,23,680
401,2546,23,690
390,2546,22,700
430,2546,22,710
457,2546,22,720
385,2546,22,730
338,2546,24,740
350,2546,24,750
403,2546,24,760
541,2547,12,10
514,2547,12,20
517,2547,12,30
605,2547,13,40
573,2547,13,50
425,2547,13,60
439,2547,9,70
482,2547,9,80
466,2547,9,90
601,2547,11,100
377,2547,11,110
613,2547,11,120
527,2547,10,130
523,2547,10,140
489,2547,8,150
491,2547,8,160
519,2547,8,170
277,2547,1,180
285,2547,1,190
277,2547,1,200
292,2547,1,210
286,2547,2,220
265,2547,2,230
330,2547,2,240
275,2547,3,250
302,2547,3,260
303,2547,3,270
363,2547,5,280
344,2547,5,290
308,2547,5,300
272,2547,4,310
311,2547,4,320
345,2547,4,330
329,2547,4,340
278,2547,6,350
305,2547,6,360
530,2547,7,370
521,2547,7,380
733,2547,14,390
703,2547,14,400
677,2547,14,410
661,2547,14,420
583,2547,15,430
778,2547,15,440
746,2547,15,450
735,2547,15,460
459,2547,18,470
363,2547,18,480
516,2547,18,490
305,2547,20,500
346,2547,20,510
375,2547,20,520
390,2547,19,530
378,2547,19,540
735,2547,19,550
611,2547,17,560
669,2547,17,570
417,2547,16,580
591,2547,16,590
562,2547,17,600
508,2547,16,610
418,2547,16,620
351,2547,21,630
279,2547,21,640
387,2547,21,650
320,2547,23,660
328,2547,23,670
330,2547,23,680
329,2547,23,690
344,2547,22,700
442,2547,22,710
437,2547,22,720
374,2547,22,730
339,2547,24,740
341,2547,24,750
376,2547,24,760
548,2548,12,10
518,2548,12,20
521,2548,12,30
587,2548,13,40
569,2548,13,50
432,2548,13,60
439,2548,9,70
492,2548,9,80
470,2548,9,90
582,2548,11,100
397,2548,11,110
627,2548,11,120
557,2548,10,130
548,2548,10,140
546,2548,8,150
499,2548,8,160
521,2548,8,170
279,2548,1,180
290,2548,1,190
299,2548,1,200
319,2548,1,210
317,2548,2,220
274,2548,2,230
338,2548,2,240
290,2548,3,250
314,2548,3,260
305,2548,3,270
367,2548,5,280
371,2548,5,290
333,2548,5,300
293,2548,4,310
320,2548,4,320
374,2548,4,330
332,2548,4,340
273,2548,6,350
306,2548,6,360
541,2548,7,370
535,2548,7,380
739,2548,14,390
723,2548,14,400
700,2548,14,410
664,2548,14,420
613,2548,15,430
781,2548,15,440
753,2548,15,450
752,2548,15,460
485,2548,18,470
371,2548,18,480
544,2548,18,490
312,2548,20,500
344,2548,20,510
378,2548,20,520
385,2548,19,530
363,2548,19,540
744,2548,19,550
631,2548,17,560
687,2548,17,570
