"","actual","predicted"
"1330",641,661.087583691615
"1643",291,342.168921062919
"520",326,318.484588475257
"1376",322,310.923088529596
"545",263,278.833895585436
"1941",795,769.246180547147
"1672",401,372.847169108794
"196",455,446.409816656443
"723",702,693.92833746156
"1410",641,647.861510277121
"1698",411,568.284803833967
"375",388,395.089813129977
"932",339,338.941329890478
"498",538,508.974180105656
"1201",521,520.00805071201
"1094",368,359.998663358631
"153",276,278.903326120253
"853",275,362.157161593553
"1927",736,720.949420219346
"623",219,221.378168572892
"514",335,314.371912163803
"292",267,289.164216476452
"546",223,207.861964476871
"1628",335,325.863396644145
"1465",715,693.870538758568
"1862",401,429.654174724091
"1292",374,371.818915278043
"354",224,232.198041463154
"711",630,661.093708620829
"2113",393,394.912103801453
"125",261,319.11977829068
"1174",375,363.343384605246
"893",308,336.6669285738
"489",320,295.107643744447
"1081",285,311.233384707557
"1355",497,501.230633707339
"75",474,451.827282778672
"1134",613,600.791245864887
"1992",372,376.83731756048
"106",181,235.757478913736
"158",322,316.270676823258
"1002",298,340.482892855521
"1829",337,323.504756831537
"2023",705,691.084950353463
"750",455,458.21178431254
"1231",374,379.451163633179
"1248",312,309.700373044785
"2110",384,407.586066831549
"1202",587,576.506459208978
"1656",537,526.205435723296
"45",257,243.025623213435
"1299",299,297.709469511208
"25",258,259.293686534818
"547",395,374.711072389631
"373",449,422.285493966588
"1601",293,283.267307042202
"1651",409,404.921500859166
"531",424,462.30133968701
"705",622,609.853165396254
"942",340,334.730624237986
"536",292,324.28903792861
"1978",611,596.533233657952
"109",249,250.410337322266
"641",298,304.022718192631
"151",413,408.337885106516
"1104",490,491.468258416729
"189",353,344.197818350986
"1512",587,584.790457433121
"1604",317,303.010303310868
"117",123,143.298982422962
"1048",553,559.339373277694
"1186",279,272.478701220104
"757",348,345.542679774181
"497",417,421.667720596816
"1271",397,397.05203301803
"327",410,441.60551367495
"88",272,300.339771200356
"1779",563,559.641304404042
"1079",348,365.140969264814
"1710",733,695.175145491555
"308",307,341.743322358225
"1825",556,552.601818154815
"1033",428,398.916038201607
"2004",707,707.740347505604
"1575",389,393.962767110894
"1782",275,299.535087201669
"1640",458,466.708892009844
"1746",558,544.098640987582
"1473",480,477.419223380371
"1499",384,397.114742296878
"2109",388,386.595832942164
"848",311,312.88122202954
"1225",305,295.647875860196
"958",295,285.962778024791
"1379",360,358.273634310347
"262",257,245.028052879849
"78",444,420.316600748348
"1637",636,628.64929386273
"422",488,463.251610918226
"1718",393,394.99195546166
"511",345,338.737198133949
"1130",482,481.056069703222
"940",729,719.562208966656
"1173",346,338.56529456717
"1812",553,573.495117642581
"1328",423,423.282452018197
"1880",454,451.204394619764
"2003",657,651.381850928836
"347",445,431.034903897635
"725",552,546.105356901463
"2114",355,356.198737273317
"1228",333,333.631900489759
"197",621,616.521205366749
"1579",538,525.346217315466
"1635",674,649.610156642121
"363",237,253.842236953955
"865",398,385.525050220327
"136",233,234.450317654639
"516",466,465.368853225602
"458",235,248.934433935169
"507",367,346.483555333341
"2084",718,710.689544607868
"1453",298,302.769888151859
"1342",351,343.086166222575
"39",345,347.255816111542
"1760",353,346.275363512652
"1537",286,279.004609814083
"983",472,556.249058703378
"1681",321,305.69909324834
"1957",414,409.869914357785
"2020",725,717.228601973812
"1286",602,613.994086332199
"1800",346,332.939567857605
"599",368,355.897771770412
"2015",400,412.222496897556
"1530",372,367.906342295897
"532",381,412.784952637604
"337",333,313.620263016503
"367",513,495.184446428844
"1391",708,707.984050922333
"1964",448,461.489081250902
"1471",745,716.566280380584
"741",309,324.785762126142
"601",416,406.688505191804
"291",199,232.655723304018
"650",490,486.447802010031
"1752",353,359.409877476905
"1200",518,508.607032753758
"1765",301,334.985477901164
"1776",717,715.846093674128
"1594",438,464.872850390142
"797",575,578.045657805097
"1661",393,424.548948739397
"1198",376,361.304015025406
"678",321,318.793172463093
"1906",366,357.037112936335
"1339",414,415.531016602379
"1666",614,602.133773097562
"585",361,354.46333474955
"1509",432,429.71186832244
"1923",652,641.257532682052
"1835",327,318.607578557114
"205",299,289.136242704045
"161",469,431.557191281066
"602",443,429.148309325002
"1633",701,698.36655976522
"1899",586,572.686859646075
"1870",703,693.749132618037
"1272",331,332.913662107047
"1455",354,362.311352699793
"686",263,268.909329800415
"619",311,318.823131261013
"2108",311,310.473002666502
"690",262,251.998907282417
"988",444,527.882717624494
"471",302,275.536915617683
"259",477,482.136572165924
"1146",330,339.139600951103
"388",239,235.568870847446
"246",278,272.388866459173
"447",281,287.542916942931
"1187",387,365.394697843079
"1942",699,690.712609419997
"614",264,256.925594502066
"911",499,474.138687564508
"523",331,312.363763069167
"131",224,233.506585317243
"788",735,721.864645309233
"1343",337,338.821952539747
"568",306,391.649440795909
"752",594,573.504356186335
"236",217,253.255721268693
"371",315,335.741148874557
"1167",746,727.877372142729
"2068",380,385.40970103572
"1893",581,571.900709335981
"83",414,391.41149572223
"69",277,285.70863567646
"393",229,253.308149924586
"1119",385,381.964534359445
"1613",252,240.931136546537
"261",398,382.733934492698
"1985",306,301.691888014975
"53",584,577.719877754416
"831",427,440.957992170178
"1252",363,367.564539819994
"576",332,317.451763483744
"399",417,390.224610235563
"1385",288,275.177611894074
"923",309,322.719508809924
"1157",278,271.051405750918
"577",276,265.571089547552
"1131",466,503.216401277912
"541",238,222.36320822075
"1056",554,543.593651787817
"57",408,401.174332890651
"1962",326,373.826197278134
"84",241,241.046510783741
"1932",700,693.753597090448
"668",414,415.256596557292
"1959",390,392.55401761031
"794",306,300.97384187182
"203",294,292.366492564016
"505",328,314.502627182313
"2034",430,420.390150893215
"596",379,370.776169329805
"2102",541,547.337953383767
"380",324,310.066069223734
"2051",604,597.521619484455
"627",409,392.618916697796
"1897",615,606.007471321029
"324",321,316.329077222895
"1256",494,504.954707989458
"807",306,293.971321476767
"1723",327,319.427664533359
"309",249,253.911114725045
"2021",581,578.542802682767
"1222",338,342.041930467787
"980",559,536.01507467532
"810",299,293.215578307834
"1587",481,482.940653252192
"1415",427,425.636920687475
"482",685,737.650026100391
"590",336,322.123288621634
"1340",312,307.243304248136
"959",376,353.126218886308
"1860",361,377.94922825548
"140",246,238.706890164141
"999",315,311.213484298603
