"","actual","predicted"
"837",363,351.2431
"686",263,265.560927777778
"690",262,264.462140476191
"910",487,477.2249
"780",417,407.276633333334
"76",448,438.612703508772
"1244",752,747.0872
"849",295,288.582085606061
"534",313,303.2101
"1246",371,370.870133333333
"962",293,289.1711
"860",536,538.569133333333
"1527",297,300.504466666666
"1043",374,371.528066666667
"757",348,341.2504
"1591",517,518.4515
"36",468,458.5049
"1130",482,484.0896
"87",187,196.168655555556
"409",376,383.98195
"1681",321,318.218066666667
"751",468,460.658933333333
"1825",556,558.279466666667
"1143",292,289.213116666667
"1525",289,294.396733333333
"1822",614,609.148066666667
"342",484,482.710933333334
"1924",515,526.120733333333
"1730",356,355.542633333333
"713",415,410.133666666666
"239",251,251.8028
"587",311,310.359383333333
"1658",517,529.441533333334
"1304",327,326.665133333333
"1912",316,319.328338095238
"991",310,315.447719047619
"446",486,456.3044
"401",567,565.408783333333
"1083",543,533.855933333333
"2113",393,391.457666666667
"1250",378,376.636266666667
"200",450,443.095966666667
"25",258,253.901566666667
"1215",521,527.296816666667
"1883",352,362.268833333333
"524",508,494.522233333333
"608",314,312.0884
"287",328,324.147321794872
"1752",353,338.135766666667
"440",424,450.383852380952
"916",280,277.663166666667
"2006",648,641.910666666666
"825",373,372.584338095238
"207",270,272.214766666667
"378",318,319.147471428571
"61",218,232.79391489899
"1580",540,538.0984
"2110",384,395.8071
"749",378,373.142333333333
"2108",311,312.366166666667
"1240",664,663.257566666667
"1398",372,371.326533333333
"2031",309,310.3659
"956",392,384.886033333334
"1144",286,284.269333333333
"1177",735,731.591333333333
"1335",521,516.463133333333
"715",496,503.344033333334
"1888",521,524.033933333334
"1384",345,340.582666666667
"444",404,391.256666666667
"1634",620,624.162066666667
"432",309,308.788559523809
"896",443,445.206966666666
"1750",270,304.659933333333
"1656",537,538.429233333334
"554",498,502.8751
"184",394,391.9194
"1367",533,528.865866666667
"1918",360,356.312933333333
"1110",343,336.244566666667
"1286",602,605.147033333333
"900",347,349.277066666667
"2042",521,522.969877777778
"724",284,296.857188888889
"146",402,406.120957142857
"836",374,362.471166666666
"848",311,301.997060606061
"1055",517,511.960633333333
"1910",378,371.266666666667
"656",338,341.880933333333
"1160",521,523.366960606061
"677",504,500.055366666667
"1503",535,535.091833333334
"1035",422,422.682466666667
"1650",390,401.682266666667
"694",255,264.362737301587
"191",394,385.7719
"1951",380,376.3635
"1319",622,668.144633333334
"477",499,517.5502
"482",685,700.082933333333
"589",298,297.369283333333
"1302",367,364.018466666666
"1245",485,488.470333333333
"219",416,409.408843223443
"791",509,507.3191
"1885",366,359.6705
"1593",454,465.021466666667
"1648",344,354.936233333333
"1323",533,535.5211
"227",157,201.477566666667
"501",248,249.2986
"1332",504,508.553666666666
"1711",640,611.749333333334
"1454",359,353.746966666666
"1561",675,674.356466666666
"1865",700,700.908433333334
"249",304,291.4919
"105",153,183.154966666667
"914",272,278.172633333333
"1754",299,303.796233333333
"821",486,478.885304761905
"1312",510,511.501433333333
"1582",509,508.747433333333
"767",254,258.576675
"1877",308,309.027266666667
"832",437,446.845266666667
"636",690,682.149666666666
"1992",372,371.83415
"1214",499,499.2531
"115",241,312.783240016708
"1429",541,539.408
"1632",414,409.452833333334
"1539",539,531.790266666667
"463",249,249.6337
"1945",663,664.912433333333
"1601",293,294.8423
"566",262,274.490366666667
"263",446,435.847252747253
"152",435,425.0522
"74",452,451.981470175439
"2090",311,301.6424
"1633",701,711.1266
"1998",310,308.318333333333
"1009",660,668.108728571429
"752",594,574.0916
"1165",583,575.801833333333
"1364",533,526.893466666667
"1161",733,719.228866666667
"1827",312,305.2786
"1330",641,643.4237
"1101",766,750.590466666666
"574",249,314.795266666667
"637",337,347.7537
"179",389,375.299666666667
"116",111,179.350163492063
"1826",400,395.1952
"1788",679,669.575033333333
"92",264,265.436367724868
"1606",385,377.171566666667
"1139",519,522.982227272727
"1948",532,532.2393
"965",310,312.279666666667
"1406",645,640.172433333334
