"","actual","predicted"
"2001",512,507.322777662399
"1611",352,344.831382080092
"2",523,493.507511035115
"1650",390,407.47195771082
"2002",675,656.277496135513
"272",353,352.999999999985
"2015",400,403.136191130931
"2018",737,722.226530943099
"1283",451,451.481266213283
"1475",549,552.412610865723
"648",365,351.601692583334
"140",246,239.077419162823
"1079",348,356.155866000554
"525",216,205.943469275001
"1116",390,391.849671508268
"1050",451,471.757571950065
"1975",532,534.34377203178
"906",447,452.792494228997
"1176",378,367.563767689954
"626",274,297.930107842592
"631",574,566.204434764213
"980",559,529.260025158154
"1139",519,518.111673817425
"1725",371,366.812371578187
"951",689,663.882446548554
"1809",608,599.009956906824
"1802",450,444.529324175788
"29",242,232.613868385742
"410",248,236.401721934992
"1980",370,365.510892987989
"235",239,233.710927788145
"117",123,14.4581837572255
"1867",614,600.600109043685
"2063",368,365.27642948733
"1020",253,255.850808483576
"503",323,310.330971045804
"89",287,264.689842173732
"1161",733,711.222091280095
"1654",362,361.999999999987
