"","actual","predicted.gaussian","predicted.poission","predicted.quasi"
"1696",668,703.780359380511,6.59770955493603,703.780359380511
"1218",299,308.734274859258,5.72856233290115,308.734274859258
"1815",445,460.532443324055,6.11829954010995,460.532443324055
"553",563,547.80115766975,6.27364243529566,547.80115766975
"1966",578,550.314680467607,6.31445655931566,550.314680467607
"1471",745,674.230569752178,6.54063913593941,674.230569752178
"997",275,278.205145951433,5.64447835184247,278.205145951433
"1681",321,292.769921462604,5.71433277319596,292.769921462604
"1432",456,444.399458785738,6.08600933602089,444.399458785738
"1550",410,421.953109599272,5.99111957273885,421.953109599272
"1529",306,317.893950304721,5.72463620052631,317.893950304721
"1463",535,540.274696972581,6.28823727518468,540.274696972581
"447",281,274.805645602836,5.6781027037025,274.805645602836
"1990",322,322.994533727037,5.74223582323819,322.994533727037
"491",265,306.612560256721,5.76884187144246,306.612560256721
"1170",363,363.95552456445,5.85482084890281,363.95552456445
"1183",508,527.593682589081,6.27579695194404,527.593682589081
"2028",438,404.828481507048,6.00581637444368,404.828481507048
"1345",436,429.156414810305,6.04499001942867,429.156414810305
"955",458,492.135332851695,6.20133511003387,492.135332851695
"1633",701,722.545802145418,6.60223259340779,722.545802145418
"200",450,477.65435542457,6.15832786867313,477.65435542457
"1362",603,579.236418162583,6.36760593420319,579.236418162583
"1544",677,642.973463188017,6.47950975384712,642.973463188017
"327",410,461.300810456196,6.05815579646002,461.300810456196
"1888",521,543.628659545717,6.31162238725242,543.628659545717
"479",547,511.332851614259,6.12326287595879,511.332851614259
"1488",426,441.559470263273,6.06545532558776,441.559470263273
"468",276,247.204827720084,5.55168006710147,247.204827720084
"638",271,284.626623455279,5.69327224805517,284.626623455279
"2000",621,571.725373704784,6.340645786857,571.725373704784
"941",428,438.458821078309,6.09575638942085,438.458821078309
"294",524,476.737828258167,6.1299434282466,476.737828258167
"1060",517,523.80877978522,6.25825328675658,523.80877978522
"2105",440,425.226078471835,6.02948768513179,425.226078471835
"1443",536,522.88378920534,6.26981897488831,522.88378920534
"1444",381,392.923857873517,5.96861056937217,392.923857873517
"292",267,409.433582526346,6.02804016223763,409.433582526346
"1059",507,510.583174613124,6.19922213400519,510.583174613124
"759",433,440.396865718576,6.07783211613295,440.396865718576
"1923",652,602.691060511181,6.3910424636393,602.691060511181
"341",603,612.950156793924,6.38703203120046,612.950156793924
